Metabolite	A01_NonContext	A02_NonContext	B01_NonContext	B02_NonContext	C01_NonContext	C02_NonContext	D01_NonContext	D02_NonContext	E01_NonContext	E02_NonContext	F01_NonContext	F02_NonContext	G01_NonContext	H01_NonContext	H25361_NonContext	H25362_NonContext	H25363_NonContext	H25364_NonContext	H25365_NonContext	A01_Context	A02_Context	B01_Context	B02_Context	C01_Context	C02_Context	D01_Context	D02_Context	E01_Context	E02_Context	F01_Context	F02_Context	G01_Context	H01_Context	H25361_Context	H25362_Context	H25363_Context	H25364_Context	H25365_Context
fum[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvs[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fvs[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvs[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvsgluc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fvsgluc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvsgluc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvstet[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fvstet[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvstet[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvstetglu[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fvstetglu[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
fvstetglu[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
g6p[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g6p[fe]	2000	2000	0	1807.253435	92.30135652	929.888816	1259.836985	2000	0	1000	1990.549394	2000	1805.715742	1401.277654	1000	1000	2000	249.169747	0	2000	2000	2000	1807.253435	0	2000	1259.836985	2000	2000	2000	2000	2000	1999.985677	2000	2000	2000	2000	1712.757784	0
g6p[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gal[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gal[fe]	1988.548247	2116.850417	2690.917897	1207.408822	1975.765177	3942.11721	1993.334717	36.76536148	2745.914614	3377.833228	3985.741881	2003.345806	820.2466728	1998.000793	3034.512943	2036.869059	1999.783392	1996.964064	1247.893518	2000	2000	2000	1207.408822	2016.75186	2000	1993.334717	0	2000	2000	1999.998788	2000	749.1187513	2000	2000	2000	2000	2025.894939	1247.893518
gal[u]	2000	2000	2000	2000	2000	2000	2000	-3.55E-14	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
galct_D[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
galct_D[fe]	1994.728304	1999.990597	1948.965479	2000	2000	1983.293132	2000	2000	1957.029799	1990.312662	1991.916334	1970.035932	2000	1986.896401	1931.458017	2000	1800.503861	1998.973506	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	1635.567516	2000
galct_D[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	2000	2000
galctn_D[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
galctn_D[fe]	1441.616884	2000	2000	1879.748573	2000	2000	2000	2000	2000	2000	2000	1997.906064	1961.830433	2000	1297.945583	2000	2000	548.4702756	2000	2000	2000	2000	1879.748573	2000	2000	2000	2000	2000	2000	1983.625295	2000	2000	2000	2000	2000	0	2000	2000
galctn_D[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000
galt[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
galt[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1202.510309	2000
galt[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
galur[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
galur[fe]	0	2000	0	2000	0	0	2000	0	0	0	0	1996.539268	1961.830433	0	0	0	1921.48178	0	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	0
galur[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gam[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gam[fe]	1999.698339	2000	1999.992633	1999.066512	1997.721301	2000	1999.982723	1987.841385	2000	1999.996669	2000	2000	1840.933987	2000	1999.999897	2000	2000	2000	1999.692583	2000	2000	2000	1999.066512	1999.852833	2000	1999.982723	2000	2000	2000	1999.999134	2000	1012.233084	2000	2000	2000	2000	2000	1999.692583
gam[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gbbtn[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gbbtn[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	0	0	2000	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	2000
gbbtn[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	0	0	2000	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	2000
gcald[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gcald[fe]	2000.73918	2000.003316	2000.355674	2000.662492	2000.423449	2000.555784	2000.663964	2001.033987	2000.148673	2001.600366	2000.585145	2000.002816	2000.015773	2000.419529	2000.585551	2000.271131	2000.662077	2000.329569	2000.26366	2000	2000	2000	2000.662492	2001.439989	2000	2000.663964	2000	2000	2000	2000.281598	2000	2000.033868	2000	2000	2000	2000	2000.324561	2000.26366
gcald[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gchola[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gchola[fe]	2000	2000	2000	2000	2000	0	2000	2000	0	0	0	0	2000	0	2000	0	0	0	0	2000	2000	2000	2000	2000	0	2000	2000	0	0	0	0	2000	0	2000	0	0	0	0
gchola[u]	2000	2000	2000	2000	2000	0	2000	2000	0	0	0	0	2000	0	2000	0	0	0	0	2000	2000	2000	2000	2000	0	2000	2000	0	0	0	0	2000	0	2000	0	0	0	0
glc_D[d]	0	0	0	0	0	0	0	3.55E-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.84E-14	0	0	0	0	0	0
glc_D[fe]	0	1924.618369	1999.992801	273.823054	2000	1891.438905	1968.350161	0	890.3832503	1196.369707	1984.716954	1985.816096	1767.080781	1701.87348	2000	1857.154452	1413.192582	2000	839.3530293	2000	2000	0	273.823054	2000	2000	1968.350161	0	2000	2000	1995.459398	2000	0	2000	2000	2000	2000	629.5092587	839.3530293
glc_D[u]	992.8574599	2000	2000	2000	2000	2000	2000	126.7767371	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	0	2000	2000	2000	2000	441.9387255	2000	2000	2000	2000	2000	2000
glc3meacp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glc3meacp[fe]	2000	0	2000	2000	2000	666.6666667	2000	2000	0	0	2000	2000	1709.121318	0	2000	86.24004186	2000	666.6666667	67.70459983	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	666.6666667	2000	1895.475535	2000	2000	2000	2000	2000	67.70459983
glc3meacp[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glcn[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glcn[fe]	1333.619689	2022.307776	0	2481.866181	1279.488747	2061.031107	1277.837557	1030.91068	1580.76792	1842.731194	2015.283046	2003.460732	1747.290885	2000	2000	4142.602073	2841.701724	0	0	2000	2000	2000	2481.866181	0	2000	1277.837557	2000	2000	2000	2963.41548	2000	0	2000	2000	2000	0	2000	0
glcn[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	2000	2000
glcr[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glcr[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	2000	2000
glcr[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	2000	2000
glcur[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glcur[fe]	4010.555532	3998.164737	4655.451425	3940.28184	3430.884921	4226.577291	3840.430347	1039.827454	3989.874604	3960.297858	3919.44669	4110.856455	2884.482434	5735.437342	3261.59008	3971.798103	4855.893046	4389.663466	5030.915268	2000	2000	2000	3940.28184	3800.51088	2000	3840.430347	2000	2000	2000	6013.642159	2000	2922.647946	2000	2000	2000	2000	5085.576454	5030.915268
glcur[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gln_L[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gln_L[fe]	0	1864.025347	485.1341511	371.037251	0	661.2348601	2363.972638	1558.570634	1182.783781	1224.082532	1776.961477	1792.758459	1205.000918	0	1824.440366	0	0	668.630896	0	2000	2000	2000	371.037251	2000	2000	2363.972638	2000	2000	2000	638.9999084	2000	1846.576666	2000	2000	2000	2000	2000	0
gln_L[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gltmn[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gltmn[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gltmn[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gltmn_glc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gltmn_glc[fe]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
gltmn_glc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glu_L[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glu_L[fe]	2426.308975	0	0	3440.093241	0	0	984.5918418	0	0	0	0	95.79737755	1761.560578	0	0	0	3224.240192	0	613.755739	2000	2000	2000	3440.093241	1848.905848	2000	984.5918418	2000	2000	2000	1352.325425	2000	1531.272918	2000	2000	2000	2000	2618.499153	613.755739
glu_L[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glutar[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glutar[fe]	0	0	1995.321636	0	0	0	0	2000	0	1997.090329	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	2000	0	0	0	0	0	0
glutar[u]	0	0	2000	0	0	0	0	2000	0	2000	0	0	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	2000	0	0	0	0	2000	0	0	0	0	0	0
gly[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gly[fe]	891.3718922	1213.322969	3918.897554	0	3453.074432	3751.783842	1219.463382	3384.35121	3557.786895	3990.563752	3777.766512	3763.282529	0	1946.465635	3768.799093	5298.998753	1337.155172	4505.307556	4830.369463	2000	2000	2000	0	2501.388052	2000	1219.463382	2000	2000	2000	3331.998348	2000	1205.395641	2000	2000	2000	0	163.0244908	4830.369463
gly[u]	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000
glyasn[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyasn[fe]	1994.146126	1942.397913	1935.028984	1997.67717	1961.030299	1930.440392	1670.870002	1920.289351	1942.39724	1942.457045	1940.206686	1942.407356	1998.384014	1946.793465	1942.407356	1942.255581	1999.207399	1941.375957	1942.244468	2000	2000	2000	1997.67717	1968.215091	2000	1670.870002	0	2000	2000	617.7171681	2000	1999.407442	2000	2000	2000	2000	1951.702289	1942.244468
glyasn[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyasp[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyasp[fe]	1974.772979	2000	2000	1807.253897	1995.924321	2000	2000	1999.389814	2000	2000	2000	1966.334788	1996.517782	1965.290207	2000	1998.279659	2000	2000	2000	2000	2000	2000	1807.253897	1570.246586	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1998.225481	2000
glyasp[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyb[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyb[fe]	4000	2000	2000	2195.269964	2000	2000	2000	2850.192316	2303.44784	2000	2000	2000	2038.169567	4000	2517.480468	4000	2078.51822	4000	4000	2000	2000	2000	2195.269964	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	0	4000
glyb[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	0	2000
glyc[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyc[fe]	0	1992.621753	0.40170078	0	0	2001.960347	0	394.0861519	1473.923564	8.510966341	953.3859625	1825.646477	0	0	1151.06895	0	803.5552358	2001.194331	0	2000	2000	2000	0	1505.218689	2000	0	2000	2000	2000	1996.425095	2000	207.0481118	2000	2000	2000	2000	2001.030577	0
glyc[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyc3p[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyc3p[fe]	485.111998	881.3749312	0	2168.690253	0	787.14884	38.67383408	0	1742.442175	0	353.6762113	937.8531205	1899.903751	0	0	1346.130716	1754.737107	0	1496.645303	2000	2000	2000	2168.690253	2335.43563	2000	38.67383408	0	2000	2000	1089.169202	2000	1987.727529	2000	2000	2000	2000	1452.899106	1496.645303
glyc3p[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyclt[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyclt[fe]	0	0	1114.894863	1614.506871	0	536.5236672	0	0	0	0	0	0	1710.465066	0	0	0	649.0524924	0	0	0	2000	2000	1614.506871	0	2000	0	2000	0	2000	2000	2000	0	2000	2000	2000	0	0	0
glyclt[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	0	2000	2000	2000	0	2000	2000	2000	0	2000	2000	2000	0	2000	2000
glycys[d]	0	0	0	0	0	0	0	5.68E-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glycys[fe]	1996.497483	1999.994421	1996.988324	1999.540309	1999.597859	1995.08014	1999.98021	0	1998.697388	1999.998779	1994.815164	1999.992033	2000	1999.709474	1994.828457	1998.134433	1999.894787	2000	2000	2000	2000	2000	1999.540309	2000	2000	1999.98021	0	2000	2000	1999.99975	2000	1999.967575	2000	2000	2000	2000	2000	2000
glycys[u]	2000	2000	2000	2000	2000	2000	2000	0.098881656	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glygln[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glygln[fe]	1996.640511	1995.38971	1999.746823	1980.852179	1995.726929	1999.354336	1994.73811	1999.915627	1986.286751	2000	1998.003372	1999.961375	2000	1883.647539	1999.973645	2000	1815.832847	2000	2000	2000	2000	2000	1980.852179	1999.541827	2000	1994.73811	2000	2000	2000	2000	2000	1999.864918	2000	2000	2000	2000	2000	2000
glygln[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyglu[d]	0	0	0	0	0	0	0	-2.65E-14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyglu[fe]	2000	2000	1990.388331	2000	2000	1957.272397	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyglu[u]	2000	2000	2000	2000	2000	2000	2000	0.271088445	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyleu[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyleu[fe]	950.6651735	1983.491051	1999.812346	1954.255871	0	2000	1742.047797	0	1990.249188	1849.601737	1969.021878	2000	0	1449.108537	1999.650609	0	1920.359348	764.1343423	992.0036948	2000	2000	2000	1954.255871	1873.093528	2000	1742.047797	2000	2000	2000	1948.277726	2000	0	2000	2000	2000	2000	0	992.0036948
glyleu[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glymet[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glymet[fe]	1999.329434	1999.995404	1995.226119	1998.94129	1973.904614	2000	1997.592644	1985.581998	2000	2000	1961.434083	1956.902674	2000	1999.299525	1999.992678	1961.434083	1999.746325	1999.045164	1997.244071	2000	2000	2000	1998.94129	2000	2000	1997.592644	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1991.380786	1997.244071
glymet[u]	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glyphe[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glyphe[fe]	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	1221.04631	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1966.394184	2000
glyphe[u]	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glypro[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
glypro[fe]	2000	1999.997942	722.1882808	771.4093528	2000	2000	2000	0	2000	2000	2000	2000	1859.621671	2000	2000	1601.918543	2000	2000	1888.039705	2000	2000	2000	771.4093528	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	1888.039705
glypro[u]	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	0	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000	2000
glytyr[d]	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
